local_class,local_filename,true_original_filename,true_original_subfolder
kötü 2,cate5_0005.png,cate5_0005.png,Supplemental content-93/images
kötü 2,cate5_0008.png,cate5_0008.png,Supplemental content-93/images
kötü 2,cate5_0009.png,cate5_0009.png,Supplemental content-93/images
kötü 2,cate5_001.png,cate4_011.png,Train/images
kötü 2,cate5_0010.png,cate5_0010.png,Supplemental content-93/images
kötü 2,cate5_0011.png,cate5_0011.png,Supplemental content-93/images
kötü 2,cate5_0012.png,cate5_0012.png,Supplemental content-93/images
kötü 2,cate5_0013.png,cate5_0013.png,Supplemental content-93/images
kötü 2,cate5_003.png,cate5_000.png,Train/images
kötü 2,cate5_005.png,cate5_002.png,Train/images
kötü 2,cate5_007.png,cate5_004.png,Train/images
kötü 2,cate5_009.png,cate5_006.png,Train/images
kötü 2,cate5_010.png,cate5_007.png,Train/images
kötü 2,cate5_012.png,cate5_009.png,Train/images
kötü 2,cate5_013.png,cate5_011.png,Train/images
kötü 2,cate6_0000.png,cate6_0000.png,Supplemental content-93/images
kötü 2,cate6_0001.png,cate6_0001.png,Supplemental content-93/images
kötü 2,cate6_0002.png,cate6_0002.png,Supplemental content-93/images
kötü 2,cate6_0006.png,cate6_0006.png,Supplemental content-93/images
kötü 2,cate6_0009.png,cate6_0009.png,Supplemental content-93/images
kötü 2,cate6_0010.png,cate6_0010.png,Supplemental content-93/images
kötü 2,cate6_0012.png,cate6_0012.png,Supplemental content-93/images
kötü 2,cate7_0001.png,cate7_0001.png,Supplemental content-93/images
kötü 2,cate7_0006.png,cate7_0006.png,Supplemental content-93/images
kötü 2,cate7_0007.png,cate7_0007.png,Supplemental content-93/images
orta 2,cate1_0005.png,cate1_0005.png,Supplemental content-93/images
orta 2,cate1_0008.png,cate1_0008.png,Supplemental content-93/images
orta 2,cate2_0012.png,cate2_0012.png,Supplemental content-93/images
orta 2,cate2_005.png,cate2_006.png,Test/images
orta 2,cate4_0002.png,cate4_0002.png,Supplemental content-93/images
orta 2,cate4_0006.png,cate4_0006.png,Supplemental content-93/images
orta 2,cate4_0008.png,cate4_0008.png,Supplemental content-93/images
orta 2,cate4_0009.png,cate4_0009.png,Supplemental content-93/images
orta 2,cate4_001.png,cate3_010.png,Train/images
orta 2,cate4_0010.png,cate4_0010.png,Supplemental content-93/images
orta 2,cate4_00111.png,cate3_010.png,Train/images
orta 2,cate4_009.png,cate4_005.png,Train/images
orta 2,cate5_004.png,cate5_001.png,Train/images
orta 2,cate5_008.png,cate5_005.png,Train/images
orta 2,cate5_011.png,cate5_008.png,Train/images
orta 2,cate6_0011.png,cate6_0011.png,Supplemental content-93/images
orta 2,cate6_0013.png,cate6_0013.png,Supplemental content-93/images
orta 2,cate7_0005.png,cate7_0005.png,Supplemental content-93/images
